News ID,Date,Title,Content,Image URL
87013,ජන 01 පෙ.ව.  9:13,සිමෙන්ති මිල ඉහළට,අද (01) සිට සිමෙන්ති මිල ඉහළ දැමිමට දේශිය සිමෙන්ති සමාගම් තීරණය කර තිබෙනවා.  ඒ අනුව කිලෝග්‍රෑම් 50 සිමෙන්ති කොට්ටයක් රුපියල් 100කින් ඉහළ දමන බව එම සමාගම් සඳහන් කළා.  ඒ අනුව සිමෙන්ති කොට්ටයක නව මිල රුපියල් 1375ක් වනවා.,https://news.bhashalanka.com/image-library/ciment-22.jpg
87014,ජන 01 පෙ.ව.  11:34,මුදල් ඇමති යලි දිවයිනට,අමෙරිකාවට ගොස් සිටි මුදල් අමාත්‍ය බැසිල් රාජපක්ෂ  දිවයිනට පැමිණ තිබෙනවා.  අද (01) උදෑසන ඩුබායි සිට පැමිණි එමිරේට්ස් ගුවන් සේවයට අයත් යානයකින් අමාත්‍යවරයා කටුනායක ගුවන්තොටුපොළ වෙත පැමිණි බව සඳහන්.,https://news.bhashalanka.com/image-library/basil-rajapaksha-2.jpg
87015,ජන 01 ප.ව.  5:12,තවත් කොරෝනා මරණ 16ක්,"තවත් කොවිඩ් මරණ 16ක් සෞඛ්‍ය සේවා අධ්‍යක්ෂ ජනරාල්වරයා විසින් තහවුරු කර තිබෙනවා.  ඒ අනුව, මෙරටින් මේ දක්වා වාර්තා වී ඇති මුළු කොවිඩ් මරණ ගණන 14,995ක් දක්වා ඉහළ යනවා.",https://news.bhashalanka.com/image-library/corona_death_2.jpg
87016,ජන 01 ප.ව.  5:12,තවත් කොරෝනා මරණ 16ක්,"තවත් කොවිඩ් මරණ 16ක් සෞඛ්‍ය සේවා අධ්‍යක්ෂ ජනරාල්වරයා විසින් තහවුරු කර තිබෙනවා.  ඒ අනුව, මෙරටින් මේ දක්වා වාර්තා වී ඇති මුළු කොවිඩ් මරණ ගණන 14,995ක් දක්වා ඉහළ යනවා.",https://news.bhashalanka.com/image-library/corona_death_2.jpg
87017,ජන 02 පෙ.ව.  6:33,ඊයේ සමස්ත කොරෝනා ආසාදිතයන් 351 ක් - පෙරේදා මරණ 16 ක්,"ඊයේ (01) දිනයේ නැවතත් දෛනික කොරෝනා ආසාදිතයන් 300 සීමාව ඉක්මවා ගියා.  ඒ අනුව ඊයේ දිනයේ ආසාදිතයන් 351 ක් ශ්‍රී ලංකාවෙන් වාර්තා වුණා.  ඊයේ දේශීයව ආසාදිතයන් 347 ක් හඳුනාගත් අතර විදෙස් රටවල සිට පැමිණි 4 දෙනෙකු කොරෝනා ආසාදිතයන් ලෙස හඳුනාගෙන තිබුණා.  මේ වන විට මෙරට සමස්ත ආසාදිතයන් 587,596 ක් දක්වා ඉහළ ගොස් තිබෙනවා.  ඒ අනුව මේ වන විට සුවය ලැබූ සංඛ්‍යාව 560,725 ක් වන අතර දැනට රෝහල් ගතව ප්‍රතිකාර ලබන සංඛ්‍යාව 11,290 ක් වනවා.  පසුගිය 31 වන දා කොරෝනා මරණ 16 ක් වාර්තා වූ අතර ඒ සමඟින් මෙරට සමස්ත කොරෝනා මරණ සංඛ්‍යාව 14,997 ක් දක්වා ඉහළ ගොස් තිබෙනවා.",https://news.bhashalanka.com/image-library/dawase-corona-saranshaya.jpg
87018,ජන 02 පෙ.ව.  6:42,අද කාලගුණ නිවේදනය,"උතුරු, උතුරු-මැද, නැගෙනහිර සහ ඌව පළාත්වලත් මාතලේ සහ නුවරඑළිය දිස්ත්‍රික්කවලත් විටින් විට වැසි හෝ ගිගුරුම් සහිත වැසි ඇතිවිය හැකි බව කාලගුණ විද්‍යා දෙපාර්තමේන්තුව පවසනවා.  බස්නාහිර, සබරගමුව සහ වයඹ පළාත්වලත් ගාල්ල සහ මාතර දිස්ත්‍රික්කවලත් සවස් කාලයේදී හෝ රාත්‍රි කාලයේ දී තැනින් තැන වැසි හෝ ගිගුරුම් සහිත වැසි ඇතිවීමේ හැකියාව පවතිනවා.  උතුරු සහ උතුරු-මැද පළාත්වල ඇතැම් ස්ථාන වලට මි.මී. 50ට වැඩි තරමක තද වැසි ඇතිවිය හැකියි.  උතුරු සහ උතුරු-මැද පළාත්වලත් හම්බන්තොට දිස්ත්‍රික්කයේත් විටින් විට හමන පැ.කි.මි. 40 පමණ තරමක තද සුළං බලාපොරොත්තු වන බවයි එම දෙපාර්තමේන්තුව සඳහන් කළේ.  ගිගුරුම් සහිත වැසි සමග ඇතිවිය හැකි තාවකාලික තද සුළං වලින් සහ අකුණු මඟින් සිදු වන අනතුරු අවම කර ගැනීමට අවශ්‍ය පියවර ගන්නා ලෙස කාලගුණ විද්‍යා දෙපාර්තමේන්තුව ජනතාවගෙන් ඉල්ලා සිටිනවා.",https://news.bhashalanka.com/image-library/weather.jpg
87019,ජන 02 පෙ.ව.  6:45,අද දින කොවිඩ් මර්දන එන්නත ලබා ගත හැකි ස්ථාන 38 ක්,"අද (02) දිවයින පුරා පිහිටි මධ්‍යස්ථාන 38 දී කොවිඩ් මර්දන එන්නත්කරණ කටයුතු සිදුකෙරෙන බව සෞඛ්‍ය අමාත්‍යංශය පවසනවා.  ඒ අනුව පහත සඳහන් ස්ථාන වලදී මහජනතාවට එන්නත ලබාගැනීමේ හැකියාව පවතින බව ජනාධිපති කාර්යාලයේ නිල වෙබ් අඩවියේ පළ කර තිබෙනවා.  එසැණ පැහැදුම : එසැණ මඟින් ජනගත කරන මෙම ලයිස්තුව, සෞඛ්‍ය අමාත්‍යංශය විසින් සකස් කර ජනාධිපති කාර්යාලයෙන් නිකුත් කරන නිල ලයිස්තුව වන අතර, එහි නිරවද්‍යතාවය පිළිබඳ එසැණ වග නොකියයි. එම නිසා එන්නත්කරණය සඳහා නිවසෙන් පිටවීමට ප්‍රථම අදාළ ප්‍රදේශය භාර සෞඛ්‍ය නිලධාරියාගෙන් විමසා අදාළ ස්ථානය තහවුරු කරගන්න.",https://news.bhashalanka.com/image-library/vaccination-srilanka-nurse.png
87020,ජන 02 පෙ.ව.  6:49,එන්නත් කාඩ්පත අනිවාර්ය කිරීම සති දෙකකින් කල් යයි,පොදු ස්ථානවලට ඇතුලුවීමේදී කොරෝනා ප්‍රතිශක්තීකරණ එන්නත් කාඩ්පත අනිවාර්ය කිරීම බලාත්මක කිරීමට තවත් සති දෙකක පමණ කාලයක් ගතවනු ඇති බව සෞඛ්‍ය අමාත්‍ය කෙහෙළිය රඹුක්වැල්ල පවසනවා.   ඒ අනුව මීට පෙර තීරණය කර තිබුණේ ජනවාරි 1 වනදා සිට කොරෝනා ප්‍රතිශක්තීකරණ එන්නත් කාඩ්පත අනිවාර්ය කිරීමටයි.  බලාත්මක කිරීමේ කටයුතු නීතිපති දෙපාර්තමේන්තුවේ අනුමැතිය සඳහා යොමු කර ඇති බවයි සෞඛ්‍ය අමාත්‍යවරයා සඳහන් කළේ.,https://news.bhashalanka.com/image-library/vaccination-card.jpg
87021,ජන 02 පෙ.ව.  6:54,ඉදිරි සති 3 ට පෙර පවතින ගෑස් හිඟය සමනය කරගත හැකියි - ලිට්‍රෝ සභාපති,"ඉදිරි සති 3 ට පෙර පවතින ගෑස් හිඟය සමනය කරගත හැකි බව ලිට්‍රෝ සමාගමේ සභාපති තෙෂාර ජයසිංහ පවසනවා.  ගෑස් සිලින්ඩර 40,000ක් පමණ මේ වනවිට දිනකට වෙළඳපොලට නිකුත් කරන බවයි ඔහු සඳහන් කළේ.  මේ ප්‍රමාණය දිනෙන් දින වැඩි වෙන බවත් එම සිලින්ඩර ප්‍රමාණය වැඩිවීමත් සමග ජනතාවට පෝලිම්වල සිටීමට සිදුවන කාලය අඩුවෙන බවත් ඔහු සඳහන් කළා.",https://news.bhashalanka.com/image-library/litro-gas.jpg
87022,ජන 02 පෙ.ව.  7:00,ෆ්ලොරෝනා රෝගය ආසාදනය වූ පළමු රෝගියා ඊශ්‍රායලයෙන් හමුවෙයි,කොවිඩ් -19 වෛරසය සහ ඉන්ෆ්ලුවෙන්සා වෛරස් ද්විත්වය එකවර ආසාදනය වීමෙන් ඇතිවෙන “Florona” රෝගය වැළදුණු පළමු ආසාදිතයා ඊශ්‍රායලයෙන් වාර්තා වී ඇති බව විදෙස් මාධ්‍ය වාර්තා කරනවා.  ඒ අනුව මෙම රෝගයට ගොදුරුවී ඇත්තේ ගැබිණි කාන්තාවක්.  දරු ප්‍රසුතිය සඳහා රෝහල් ගතවූ අවස්ථාවේදී සිදුකළ පර්යේෂණයේදී එම කාන්තාවට ෆ්ලොරෝනා රෝගය ආසාදනය වී ඇති බවටයි අනාවරණය කරගෙන ඇත්තේ.,https://news.bhashalanka.com/image-library/pcr-testing.jpg
